AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|G|AZUAY|SIGSIG|403351,4600|477425,6300|0,0000|38143,1300|0,0000|513111,2200|275724,3900|626714,3500|9056,6000|1456947,6800|918920,2200
2025|1|S|MANABI|SUCRE|60870,4700|119465,5300|0,0000|0,0000|0,0000|61323,8000|34825,2600|0,0000|545,2500|96694,3100|180336,0000
2025|1|P|ESMERALDAS|QUININDE|4755,3400|163571,3400|0,0000|0,0000|0,0000|15139,1700|17056,4200|0,0000|1498,5000|33694,0900|168326,6800
2025|1|L|COTOPAXI|PUJILI|38338,4900|3450,0000|0,0000|0,0000|0,0000|14715,9600|828,2000|0,0000|0,0000|15699,0500|41788,4900
2025|1|C|COTOPAXI|PANGUA|25713,1300|309842,4000|0,0000|0,0000|0,0000|68539,5200|46116,0400|0,0000|38247,9000|152974,8900|335555,5300
2025|1|E|PICHINCHA|MEJIA|179824,4700|91360,0100|0,0000|9400,5000|0,0000|78489,7500|23746,3000|12,0000|8588,6800|111163,6500|280584,9800
2025|1|M|COTOPAXI|PANGUA|59195,2600|4641,4100|0,0000|0,0000|0,0000|25649,3100|15558,6800|0,0000|1875,2800|52582,6000|63836,6700
2025|1|N|MANABI|JARAMIJO|195387,1100|288644,3100|0,0000|0,0000|0,0000|100601,1500|76585,7700|0,0000|1689,0300|209633,4400|484031,4200
2025|1|G|CAÑAR|LA TRONCAL|5382474,6500|5755638,8900|0,0000|348072,0200|0,0000|4954778,8900|6318073,4400|158028,1800|21255,9700|11758103,8300|11486185,5600
2025|1|Q|LOJA|LOJA|1013658,7800|5513696,4300|0,0000|0,0000|0,0000|1404893,9800|1751282,6000|0,0000|69375,8000|3253865,1200|6527355,2100
2025|1|M|LOS RIOS|VALENCIA|52972,6600|25137,5800|0,0000|0,0000|0,0000|70617,5500|7199,3900|343,1800|417,0000|82706,5200|78110,2400
2025|1|A|ZAMORA CHINCHIPE|PAQUISHA|2616,7000|2693,2000|0,0000|0,0000|0,0000|9408,3000|501,9700|2078,6900|0,0000|11988,9600|5309,9000
2025|1|H|LOS RIOS|MOCACHE|1573,3200|45340,4200|0,0000|0,0000|0,0000|10505,5100|2954,9200|0,0000|30256,9800|43717,4100|46913,7400
2025|1|G|CHIMBORAZO|PALLATANGA|319844,3900|299505,9000|0,0000|39590,0500|0,0000|347132,2300|255050,8900|26992,4000|0,0000|673832,8700|658940,3400
